comentario,cluster_final,categoria_tema,tema_cluster,sentimento_cluster
😆👈doido Bolsonaro Maluco verdade👈😆👎☝😆👎😆😆😆😆😆😂😂😂😂😂😂😂😂😂,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Pior ruim bolsonaro,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Foi bom mas poderia ser melhor se os jornalistes nao fossem todos de esquerda,-1,,,
"Lula falando de moto e bicicleta, é só aqui kkk",-1,,,
Ciro ja que voce em bom projetos por que voce nao levou agua la ande o bolsonario terminou e por que vove teria que parar com sua frota de caminhoes e vendia para os pobres terminou sua teta mas deus e maior que voces e vai ganhar o melhor e nao e voces que ficam atacando o bolsonaio,6,outros,Críticas a candidatos e alianças políticas,negativo
"QUE A BANDE FEZ HOJE TEM QUER SERVIR DE EXEMPLO PRA OUTRAS EMISSORAS, NÃO PUXANDO SACO PRA UM ELEITOR MAS SENDO PROFISSIONAL DIFERENTE DA GLOBO.",3,outros,Qualidade e organização do debate presidencial,positivo
"Essa música de fundo parece um ""BGM"" (Background Music) de jogos como Dragon Ball Z Kakarot.",-1,,,
"No próximo debate , gostaria de saber por que todos os políticos precisam receber auxílio terno,moradia, combustível, viagem e etc enquanto a população recebe um auxílio emergencial miserável?",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Lula não tem vergonha na cara véio,não era mais fácil pedir desculpas por colocar o país na lona.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Tem que tomar remédio pra náuseas,  pra ouvir esse atual presidente",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
É para mudar do Brasil mesmo o candidato do partido novo,-1,,,
Soraya acabar impostos kkkkk essa quero ver. Nem sai do papel,4,outros,Desempenho e propostas das candidatas no debate,negativo
Soraya nunca ouvi falar,4,outros,Desempenho e propostas das candidatas no debate,negativo
É Simone tablete. Vai dar dinheiro para comprar moto e celular. É botar  a mulherada pra arrumar casa,4,outros,Desempenho e propostas das candidatas no debate,negativo
Debate começa em 1:06:01,1,outros,Reações e humor a momentos do debate presidencial,misto
"Boechat fazendo falta, devia estar aí apresentando.",-1,,,
É isso aí a festa da democracia é você que paga,-1,,,
Meu Deus eu nao sabia que o Lula nao sabia falar portugues😵Ainda bem que vim morar no Japao a 30 anos🙍,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
O povo vem aqui pra parabenizar a emissora e esquece de comentar sobre os candidatos. E apontar onde está o problema do Brasil.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
A festa da democracia é você quem paga,-1,,,
Simone e Ciro não sei pra que se candidata não vai ganhar nunca só vai pra fazer cena,4,outros,Desempenho e propostas das candidatas no debate,negativo
"Infelizmente o Dr. Enéas Carneiro já não esta aqui entre nós. se estivesse, assim poderíamos dizer que pelo menos  1 candidato era capacitado ao cargo em questão.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Se eu fosse a band entrava com uma ação no TSE para liberar 10 minutos de porrada dos candidatos ao vivo sem perder o mandato ou perde o direito de se eleger. Aí sim tu aí ver a audiência bombar kkkkk,3,outros,Qualidade e organização do debate presidencial,positivo
"Bom debate. Ao contrário do debate anterior entre candidatos ao governo de SP a emissora soube controlar bem os assessores e a militância por trás da câmera. No debate para governador os assessores, principalmente do Haddad, faziam muito barulho toda hora que o candidato soltava um meme e isso foi bem feio de ver.
Neste debate, mesmo tendo briga entre o Danone e mais um outro aí, só ficamos sabendo por fora, não tendo interferido em nada no debate.
Muito bom mesmo.",3,outros,Qualidade e organização do debate presidencial,positivo
3:13:52 lula eu vou perguntar para a candidata simone stepi kkkkk,1,outros,Reações e humor a momentos do debate presidencial,misto
"Ciro não é ex presidário, não é analfabeto, não está envolvido com corrupção tem proposta, discute com fatos e números mas eu não entendo pq as pessoas seguem votando nos mesmos como se não houvesse outra opção! Fico indignado!

Com propostas claras desde antes a campanha começar, o Ciro é obviamente a melhor opção.
Diz o que vai fazer, como fazer, porque fazer.",6,outros,Críticas a candidatos e alianças políticas,negativo
"O primeiro tópico do Lula foi falando sobre educação 
Achei de um sarcasmo genial
Assim como Bolsonaro sobre parcimônia entre os poderes executivo legislativo e judiciário kkkk
É rir para não chorar",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Esse discurso de não sou político é  um blá blá, se estão se candidatando são políticos dependem da política, idiotas.
Vai dar Lula",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Essa simone só respondeu falando mal do governo, candidata que só ataca e não põe a proposta na mesa é sinal que não tem bagagem.",4,outros,Desempenho e propostas das candidatas no debate,negativo
bolsonaro o pior presidente da história do brasil,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"03:20:18 ""Que moral tu tem pra falar de mim oh o EX-PRESIDIÁRIO!?"" 😂😂",-1,,,
Esse debate ficaria bom se o calça apertada estivesse também kkkkk,-1,,,
"Nossa lula só se decorar mesmo PRA DAR RESPOSTAS , pergunta 1 coisa responde outra ???",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
band esta de parabéns,3,outros,Qualidade e organização do debate presidencial,positivo
Nossa nem aqui CONSEGUE  BATER  as lives do Bolsonaro??? Olhem os 2 canais ele é o do EX PAI DOS POBRES ??? hj os filhos dele tdo ricos né???,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Bolsonaro e o único cociente de todos, propostas que interessa o povo, e com verdade em suas palavras.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Parabéns pela Band pelo ótimo debate entre os candidatos à presidência,esclarece mais o eleitor sobre as propostas para o Brasil é fazer a melhor escolha",3,outros,Qualidade e organização do debate presidencial,positivo
"Bolsonaro o melhor do debate, reeleito em primeiro turno, ladrão na cadeia e o Brasil livre 🇧🇷",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Simone Tebet a melhor candidata,4,outros,Desempenho e propostas das candidatas no debate,negativo
"Parabéns Band, isso sim foi o debate entre os candidatos sem a emissora interferir.",3,outros,Qualidade e organização do debate presidencial,positivo
Kkkkkk É notório que o nível é muito baixo. Estamos lascados.,-1,,,
"Muito bom o debate, foi justo e igual. 
Todos os candidatos tiveram chance de falar e se expressar.",-1,,,
Show de debate!,3,outros,Qualidade e organização do debate presidencial,positivo
Fundo eleitoral a puta que pariu,-1,,,
Porque eles não fala de pena de morte pra político corrupios,-1,,,
"Bolsonaro extremamente preparado.
  Acabou com todos.",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Vagabundos usando o vírus que atingiu o mundo todo e estes filhos da puta usa isso,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Quanta palhaçada. Fogem das perguntas. Será que acham que somos burros???,-1,,,
"O Ciro falando é uma tempestade em copo d'água.
   Querendo dizer que está um desastre.
   Político sem vergonha!!!",6,outros,Críticas a candidatos e alianças políticas,negativo
"Meu Deus eu não tô entendendo nada,me parece que estão fazendo as mesmas perguntas do prefiro debate na globo e estão dando as mesmas respostas,parece que é repetido?",3,outros,Qualidade e organização do debate presidencial,positivo
"Bolsonaro jantou todos eles, falando somente a verdade,  o povo está atento e não cai mais nesse Papinho não, e Jair Bolsonaro primeiro turno",-1,,,
Muito bom 👍,3,outros,Qualidade e organização do debate presidencial,positivo
"""já bastou de mulher""?!!!!! É sério isso?! E tem a cara de pau de dizer que respeita mulher!",4,outros,Desempenho e propostas das candidatas no debate,negativo
1:10:42 Scott Morison brasilero?,1,outros,Reações e humor a momentos do debate presidencial,misto
Parabéns Presidente coerente e contido e todos quando jornalistas da Velha impressa e candidatos passando bola pro outro atacar Jair Bolsonaro,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Quem já se formou terá direito aos 5 mil?,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Pra cima Lula ❤,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Lula presidente 13!!!,-1,,,
"Lula era pra tá preso, Bolsonaro sofrer Impeachment e Ciro voltar pro Cangaço..",6,outros,Críticas a candidatos e alianças políticas,negativo
Gostei muito desse tal de Felipe D´avila!!,0,economia,Crescimento econômico e futuro do Brasil,negativo
Bolsonaro em primeiro turno 🙌🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Isso e uma palhaçada e quem sofre e o povo brasileiro,-1,,,
Num ponto eu concordo com a Simone.  Fato.  Q quem e pedofilo. Merece o pior da lei. ... Porém discordo num ponto.   Pq será q sempre quando o presidente prega. Castração química pra pedofilo aparece uma turminha aí. Se dizendo. Direitos humanos protegendo o cara. Poxa.  Basta 10 exemplos disso no país e o problema se resouve. Ué,4,outros,Desempenho e propostas das candidatas no debate,negativo
Impressionante como esse bozó é tosco.,-1,,,
Odeio bolsonaro mas a pergunta da vera ridocula nada profissional,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Televisão pública de angolano tinha que aprender com a Band,3,outros,Qualidade e organização do debate presidencial,positivo
"Sobre a 1 parte da educação(VINDO DE UMA ESTUDANTE)o problema n esta nem nos professores(alguns)nem nos alunos,qual é o sentido colocar uma criança para aprender coisas inuteis?Sem nem demonstrar a ultilidade?Alem de n tem faculdades publicas,como a criança pode focar na aula com vontade de ir no banheiro porque a professora/escola n deixou,como aql menina q ficou pela 1 vez na escola na queles dia?E n ter aql no banheiro?como ela vai focar na aula?Quando o professor fica olhando os cadernos como a criança que n consigou fazer nada vai conseguir estudar?
~Aluna do 5 ano,q alguns ja imagina,e outros ja presensiou ou viveu",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Ciro deu um show.  Ganhou meu Voto 🙏,6,outros,Críticas a candidatos e alianças políticas,negativo
"Ótimo debate, imparcial e esclarecedor, tirando a Vera Petralhães que foi lá só pra militar como sempre.",3,outros,Qualidade e organização do debate presidencial,positivo
"Maria da Penha agora é Maria da paz pro Davila
Hahaha esse debate foi maravilhoso",-1,,,
2:07:14 eu fiquei vermelho de rir kkkkkkk,1,outros,Reações e humor a momentos do debate presidencial,misto
"""se comprometer a ter metade de ministros mulheres"" a vai catar coquinho, se n tem mulher ministra é pq n tem capacidade pra tal, ou n tem capacidade pra roubar kk",4,outros,Desempenho e propostas das candidatas no debate,negativo
E tem gente que ainda não percebeu que o Lula é um pescotapa...,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"wtf, ""o brasileiro tem que ter a cultura de doar"", doar pra politico fazer sua campanha? kkkkkkkkkkkkkkk era só oq me faltava, ela mesma se contradiz dps falando que o povo ta mexendo no lixo procurando oq comer, como a pessoa vai doar assim krl",-1,,,
"Soraia defende o fundão de 6 bi, e depois fala do povo catando lixo pra comer... Enfim, a hipocrisia",4,outros,Desempenho e propostas das candidatas no debate,negativo
"Oooh ex presidiário kkkk
Murri",-1,,,
"Simone tebet disse q a corrupção tira merenda do posto de saúde... Oi? Kkkk
Melhor debate",4,outros,Desempenho e propostas das candidatas no debate,negativo
"Tô passada com o Cirinho paz e amor. O que fizeram com esse homem kkkkk
Além da pérola que pra quitar as dividas a solução é dobrar o gasto... Oi? Kkk",6,outros,Críticas a candidatos e alianças políticas,negativo
"Videos e videos do Bolsonaro falando merda e ele diz que é mentira, como acreditar em uma pessoa assim ?! Não consigo.",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Pra você, quem mentiu mais no debate?",-1,,,
1:18:30 BOLSONARO X LULA,1,outros,Reações e humor a momentos do debate presidencial,misto
"Uma vergonha todos esses candidatos. Todos sem exceção! Quando o povo cansar de ser feito de trouxa, tudo vai mudar, mas infelizmente não será esse ano!",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Tinha que ter no Máximo 3 candidatos algum tipo de prévia para não ficar esses coitados com menos de1 % dos votos.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"a mulher é feminista e quer se candidatar pra presidente kkkkkkkkkkkkkkkkk, acha q vai ganhar kkkkkkkkkkk",4,outros,Desempenho e propostas das candidatas no debate,negativo
toda sua ACEpção,-1,,,
Que saco c****** p**** mais de 10 minutos só com propaganda aí cadê o debate,-1,,,
"isso n é uma theocracia e sim uma democracia
(⓿_⓿)",3,outros,Qualidade e organização do debate presidencial,positivo
"""o tempo congelou quando a jornalista falou""
ah entendi, e eu já usei o tempo?
""sim""",-1,,,
"Bolsonaro 22, o melhor presidente do Brasil. ❤️ amo meu querido presidente Bolsonaro!",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"na saída do açougue um rapaz me pediu que comprasse pra eu comprar pra ele um, kilo de carcaça de frango porque não tinha nada pra comer, ontem fui comprar uma quentinha, apareceu uma mãe com a filha, o atendimento estava demorando e a menina simplesmente DESMAIOU, o povo perguntou o que ela tem, a mãe respondeu FOME, perguntou quanto é a quentinha? 12 reais, saíram mãe e filha sem levar a quentinha de 12",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
ANTONIO MONTEIRO MORENO LIDER INDIGENA DE ÇIENÇIA EM SUSSESORIA UMA GRATIFICANTE ESTORIA DE RAIZES .DE COLETIVIDADE VOLUNTARIOS EM TODO TERRITORIO NAÇIONAL -SEM MERITO PULITICO NATO -DEIXO RESALTADO Q QUEM NÃO TEM EQUILIBRIO DE MERITO PROPRIO NÃO TEM ALTONOMIA NEM MUDA JÁ MAIS -CONVERÇAS FIADAS DEBADES EMGANOZOS COMO DESDE SEMPRE MUITO TEM TIDO NÂO DIGUINIFICA NÃO REZOLVE NADA PRINÇIPALMENTE QUANDO TEMOS ÇIENÇIA DE PODRES CANDIDATOS DE UM EMUNDO NOGENTO PASSADO -DEVEMOS SER AVALIADO POR NOSAS PRATICAS E AÇÓES !,-1,,,
eu sou Lula,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
O Brasil precisa de emprego e saúde,-1,,,
"Esse debate foi incrível
Espero muitos memes vindo dele kkkkkkkkkkkkkkkkkk",-1,,,
"pqp, o debate começa com um imbecil falando,""a economia n cresce a 20 anos"" ACHO EM 2008 ELE TAVA COM O JATINHO DELE LA EM DUBAI, ficou de 2002 a 2022 la",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
2:07:07 Lula elogiando o Governo Bolsonaro KKKKKKKKK ESSSE LULA É UM ANIMAL!!! BOLSONARO 2022🇧🇷🇧🇷🇧🇷,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Os ministros do governo Bolsonaro : 🤡,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
hospital do amor.,-1,,,
"ninguem:
bozonaro: entrando de moto no hospital",-1,,,
"O ateu tem fé?Se tem ,a fé dele está direcionada a quem ?",-1,,,
Vocês estão de parabéns,3,outros,Qualidade e organização do debate presidencial,positivo
Bolsonaro e o Ciro amassaram o Lula,-1,,,
"Ligadinha para ouvir o Presidente Bolsonaro.🇧🇷🇧🇷🇧🇷🇧🇷
Bolsonaro reeleito!
22🇧🇷22🇧🇷22🇧🇷",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Ciro é o pantera negra e o Ceará é Wakanda,6,outros,Críticas a candidatos e alianças políticas,negativo
"Soraya e Simone estão de suporte a Lula.
Felipe Davila está de suporte à Ciro.

Bolsonaro está sozinho e todos contra ele.

Mais uma vez, a luta pelo oder, e não pelo nação brasileira.

Acorda Brasil, agora é 90 com Pablo Marçal, que está sendo cortado dos debates.

O Brasileiro não deveria ver e ouvir todos os candidatos debatendo?",6,outros,Críticas a candidatos e alianças políticas,negativo
Simone não sabe o que é feminista. Triste pra uma candidata a presidência.,4,outros,Desempenho e propostas das candidatas no debate,negativo
lula parece que parou em 2008,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Votem no Dávila. 30,0,economia,Crescimento econômico e futuro do Brasil,negativo
eu n intend si o lula foi descondenado entao pq n ouve outro julgamento na cidade dele??? é o serto 🤔....bolsonaro é nois ..mitooooooo,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Bora ver como vai ser esse show de stand up...,-1,,,
Meu Deus 58 milhões de eleitores brasileiros sem noção elegeram um débil mental e truculento que não respeita as mulheres desrespeitando suas adversárias Simone tebet e Soraya,4,outros,Desempenho e propostas das candidatas no debate,negativo
"Ciro como sempre, o mais bem preparado
E as mulheres também arrasaram. Se o Ciro nao estivesse concorrendo, uma delas com certeza teria meu voto",6,outros,Críticas a candidatos e alianças políticas,negativo
"Bolsonaro mata e mostra o pau, o lulinha não consegue completar nenhuma pergunta ele se esquiva de todas …",-1,,,
LULA  não sabe   responder   sem antes    atacar.     Como sempre  um canalha,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Pais da fome, da miséria? Essa Simone tá equivocada. Brasil é a pátria amada!",4,outros,Desempenho e propostas das candidatas no debate,negativo
Seus economistas estão todos mofados kkkkkkkk muito bom,-1,,,
"Pessoal cuidado, Identidade digital e o caminho para a Prisão Digital.
Cuidado",-1,,,
Bolsonaro 2022 o resto nem sei quem é,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Bolsonaro o resto é farinha do mesmo saco ou seja um bandido de corrupto e ladrão,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"E cadê os assuntos dos correios ninguém fala nada da vergonha que está os correos, Vergonha!!!!!!!! Tá feio",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
2:07:13 um dos melhores momentos kkkkkkkkkkkkk,1,outros,Reações e humor a momentos do debate presidencial,misto
Esse Ciro não tem solução pra nada...um cagão.,6,outros,Críticas a candidatos e alianças políticas,negativo
A proposta de baixar os impostos kkkk,-1,,,
Obrigado Band pela disponibilização do debate pra quem não pode assistir ao vivo.,3,outros,Qualidade e organização do debate presidencial,positivo
Isso que é uma emissora de TV 👏🏻👏🏻,3,outros,Qualidade e organização do debate presidencial,positivo
Deveria mostra a quantidade de deslikes que recebeu,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Bolsonaro reeleito  ,esse sim Predidente de verdade",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Verdadeiro show de horrores a maiorida dos candidatos, todos preocupados em atacar o presidente, e apresentando poucas propostas",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Meu deus nossa economia em frangalhos e essa Simone Tebet quer aumentar gastos, na hora de aumentar a PEC KAMIKAZE ela foi a primeira,  e um pior que o outro, PQP",4,outros,Desempenho e propostas das candidatas no debate,negativo
"Acho que eu sei o que causa esse ""retrocesso"" do ensino de acordo com as pesquisas
Pelo menos na minha sala todo mundo chuta aquelas provas estilo enem e ninguém liga kkkkk",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Parabéns a Band, Não fez igual a ou emissorinha puxando sardinha o Ex- pres.",3,outros,Qualidade e organização do debate presidencial,positivo
"Avemaria
Essas candidatas não cansam não de sempre falar a mesma coisa????",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Tenho nojo de ouvir o ex prxsxdxárxo falar... Tenho medo dele ganhar e medo de quem ele pode trazer como ministro... 😬,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
BolsoNABO URUGUAY NO TE QUIERE!!!! FUERAAAAAA,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Parabéns Band 
Parabéns toda organização do debate",3,outros,Qualidade e organização do debate presidencial,positivo
Faltou o Marçal 90,-1,,,
"O CIRO GOMES FALANDO ASSIM ISSO SO PODE SER LA ONDE ELE MORA QUE POVO TA ASSIM PASSANDO FOME , ELE GOSTA DE DAR AFINETADA, E NAO GOSTO DE RECEBER DE VOLTA KKKKKK  E JAIR BOLSONARO 22 PONTO FINAL",6,outros,Críticas a candidatos e alianças políticas,negativo
"Tebet 5 mil reais para os jovens dá entrada numa moto ou num celular
E isso não é compra de voto
Eu vou rir até o mundo acabar",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
E na privatização não tem corrupção não. Imbecil é o novo com cara de velho.,-1,,,
Tinha que parecer um desgraçado ordinário pra defender privatização.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
A BAND E MELHOR QUE GLOBO LIXO PRONTO FALEI,3,outros,Qualidade e organização do debate presidencial,positivo
Por que o Danilo Gentili nao está no debate?,-1,,,
"O Ciro Gomes tá muito preocupado com a alimentação do povo
Até parece....
Canalha!",6,outros,Críticas a candidatos e alianças políticas,negativo
"Conciliar não Ciro,  tenha a santa paciência.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
2:06:38 Bolsonaro Olha Para A Cara de Pau de Lula 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1,outros,Reações e humor a momentos do debate presidencial,misto
o ciro e o lula tomou um cacete kkkkkkkk,6,outros,Críticas a candidatos e alianças políticas,negativo
Porque o Pablo Marçal não está no debate. Tenho q conhece as propostas de todos.,-1,,,
"ja comi merenda da escola uma vez,..tem dias q é bom,.mas tem dias q é terrivel,...pior do q a comida na cadeia",-1,,,
Presidente Lula?????? Outra emissora manipulando o Ladrão.,-1,,,
MEU PESAMES AO VELHO JORNALISMO!!!,3,outros,Qualidade e organização do debate presidencial,positivo
"2:20:27 ""Eu sou culpado, por que fui inocente."" Aah?",1,outros,Reações e humor a momentos do debate presidencial,misto
3:45:57 Foi tanta mentira que ele até esbarrou nelas,1,outros,Reações e humor a momentos do debate presidencial,misto
Simone está mentindo ela disse que 1de cada 3mulher é agredida no Brasil só se for na família dela,4,outros,Desempenho e propostas das candidatas no debate,negativo
Muito bom o debate. Mas pecou no intérprete de libras.,3,outros,Qualidade e organização do debate presidencial,positivo
"Soraya  estava indo tão bem, mas pelo visto é  um clã para derrubar bolsonaro em vez de cada um tentar melhorar o país.",4,outros,Desempenho e propostas das candidatas no debate,negativo
Debate da Band: Tentativa de denegrir o Lula. Vão dar com os burros n'água.,-1,,,
"Acho q deveriam apresentar , falar mais de propostas e do q fizeram de bom",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Foi um absurdo a Band não intervir no ataque de Bolsonaro à jornalista. Cada vez menos assisto essa emissora.,3,outros,Qualidade e organização do debate presidencial,positivo
"eu a a minha família já fomos muito enganados pelo PT ( Olhem para cidade de Diadema no ABCD Paulista ficou arrebentada depois de 40 anos seguidos na mão do PT. 

KD o hospital da mulher que existia em Diadema ?

KD o hospital infantil ?

KD a Empresa ETCD Empresa de TRANSPORTE COLETIVO DE DIADEMA ?

 KD A Saned Empresa de saneamento de água e esgoto ?

KD as Empresas privadas que foram embora de Diadema nestes 40 anos de partido dos "" trabalhadores"" ( o problema da corrupção e insegurança fizeram com quê muitos empresário não querer continuar em Diadema.

Diadema atualmente não arrecada o suficiente para atender a demanda dos serviços públicos .

Saúde , segurança, Transporte, Educação...Tudo indo muito mal...",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
2:07:10 a parte que o lula trava da muita risada kkkk,1,outros,Reações e humor a momentos do debate presidencial,misto
A Band é tendenciosa. Não gosto.,3,outros,Qualidade e organização do debate presidencial,positivo
"A fala é bonita,mas as ações são impossíveis,ahaja vista que nada fizeram em seus mandatos.Essa imunda Tebet deixou a doutora ser massacrada na CPI da vergonha.BOLSONARO REELEITO JÁ",4,outros,Desempenho e propostas das candidatas no debate,negativo
"""A corrupção tira a merenda do posto de saúde"" - Simone Tebet 🤦🏻‍♀️",4,outros,Desempenho e propostas das candidatas no debate,negativo
Mesmo diuscurso fajuto dos demais candidatos...,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"É engraçado ver esses candidatos falando, eu vou, eu vou, eu vou kkkk você vai se for aprovado na câmera e no senado se não se não vai a lugar nenhum kkkk",3,outros,Qualidade e organização do debate presidencial,positivo
Até o morto recebeu bolsa brasil explica isso se tem alguém passando fome até o morto tá recebendo Eu HEMMM,-1,,,
Só um candidato limpo.Felipe D'ávila.,0,economia,Crescimento econômico e futuro do Brasil,negativo
"O bolsonaro é uma vergonha, impressionante o despreparo dele, vc que votou em 2018 nele, chegou tua hora de rever seus conceitos, se permanecerem iguais de 4 anos pra cá, o problema não é o Brasil nem os políticos, é vc!!! Como diz o capitão nascimento do tropa de elite ""É você que financia essa porra""",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Se não fez projetos como senadoras como presidente é que não faz!! Cadê que peita o STF pra tirar a obra do papel??? Mexam-se!!!,4,outros,Desempenho e propostas das candidatas no debate,negativo
Uma hora sem falar porra nenhuma que vergonha.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Kkkkkkkk OK EU HEMMM,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Lula 🙄🤢🤔 quanta mentira!
O Brasil não  merece  tanta hipocrisia e tanto  blá-blá-blá ... Triste Brasil
surreal🤔🤨
Felipe D'avila 👏👏",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Com 11 anos Eu já trabalhava,-1,,,
Parei no todos e todas,-1,,,
"Uma candidata dizendo que irá isentar professores do IR, a outra dizendo que pagará R$5 mil a todos os estudantes ao se formarem no ensino médio para comprarem telefone celular ou moto... pqp, é assim que pretendem melhorar o ensino no país? Que piada!",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"""Esse país nunca teve educação, precisou de um metalúrgico sem diploma cuidar disso""",-1,,,
"Que moto de 5 mil reais?, lkkk agora chapo",-1,,,
Começa em 9:35,1,outros,Reações e humor a momentos do debate presidencial,misto
"Vamos fazer uma enquete:
Bolsonaro curte 👍
 Lula comenta 13.",-1,,,
"Esse debate deixou claro pra mim que o Bolsonaro está cercado de pilantras. Se não for ele, o Brasil vai pro fundo do abismo de vez.",-1,,,
Cheiro da cachaça chaga aq em lula,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
A Soraya pisca os olhos mais de 100 vezes por minuto 😂😂😂,-1,,,
Lula deveria mudar para 71 e não 13,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"O que resolve o problema das mulheres são uma nação mais justa e forte, unida",-1,,,
Eu estou com o coruja noturna 2023🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🗿🍷😈😈😋🥰,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"1:52:00 Seu imposto vai pagar moto e telefone de adolescente? É isso mesmo? Se quer fazer isso, porque não condicionar o uso do dinheiro à educação? Você recebe os R$5000,00 mas só pode usar para estudos: Uma faculdade, curso profissionalizante, curso de idiomas, que seja um curso online, mas moto e telefone? Chega a ser cômico.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"CAARAAAIOOOO 5000 CONTO P ESTUDA 
Horraa aii sim daria gosto de i p escola, os únicos q ganhavam dinheiro indo o escola no meu tempo era traficante 🤣",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
